country,year,food_imports_pct_merch_imports,food_production_index_2014_2016_100,undernourishment_pct_population,adult_overweight_pct,diabetes_pct_age_20_79,premature_ncd_mortality_pct_30_70
AGO,2000,,32.16,,19.92,,30.5
AGO,2001,,36.9,67.8,20.59,,29.7
AGO,2002,,41.72,63.6,21.26,,29.4
AGO,2003,,45.12,57.5,21.93,,29.3
AGO,2004,,48.23,50.6,22.58,,29
AGO,2005,,52.4,42.9,23.22,,27.8
AGO,2006,,53.64,36,23.84,,27.9
AGO,2007,16.0130411206913,60.96,29.8,24.43,,26.6
AGO,2008,13.7747753460474,64.82,24.4,25,,26
AGO,2009,13.5034728472044,80.89,19.7,25.53,,25.6
AGO,2010,15.2317774101968,85.77,16.2,26.03,,24.8
AGO,2011,18.5961209830809,93.77,14.8,26.5,2.9,24.7
AGO,2012,20.0679144054906,78.69,14,26.96,,24.3
AGO,2013,17.7540189586108,105.73,13.5,27.4,,24.2
AGO,2014,16.9800788875661,94.42,13.2,27.85,,23.1
AGO,2015,13.1856290907877,100.7,14.2,28.31,,23.2
AGO,2016,13.7148613995916,104.88,15.2,28.77,,23
AGO,2017,17.7351790914195,105.13,15.4,29.25,,22.9
AGO,2018,20.4742098971902,107.35,15.9,29.73,,24
AGO,2019,19.7878114318642,110.28,18.2,30.22,,24.6
AGO,2020,22.7679187377981,114.88,20.8,30.73,,25.3
AGO,2021,18.3271316794408,117.5,22.6,31.25,,24.7
AGO,2022,17.8999629886485,124.09,23.1,31.78,,
AGO,2023,14.4443926524951,,22.5,,,
AGO,2024,15.7475332353735,,,,4.9,
BDI,2000,22.9477820813955,78.84,,8.93,,34.1
BDI,2001,13.0997647772338,85.54,,9.23,,32.7
BDI,2002,11.1502827884135,98.97,,9.53,,31.4
BDI,2003,15.6172819923032,84.64,,9.85,,30.4
BDI,2004,9.00425219956459,100.27,,10.17,,29.7
BDI,2005,6.49189862259681,82.55,,10.49,,28.4
BDI,2006,22.1724762196771,95.42,,10.8,,27.3
BDI,2007,12.4332536633679,84.46,,11.11,,26.1
BDI,2008,11.2037211679344,92.93,,11.41,,25.3
BDI,2009,12.5427229476862,88.92,,11.72,,25.1
BDI,2010,13.6810649467138,98.8,,12.01,,25
BDI,2011,24.6762609668747,92.74,,12.3,2.7,24.7
BDI,2012,30.1336822725214,81.8,,12.6,,24.6
BDI,2013,13.9872322830882,112.9,,12.9,,24.5
BDI,2014,13.0620233195074,100.47,,13.22,,24.5
BDI,2015,12.6210040103332,95.75,,13.53,,24.1
BDI,2016,16.5501620490981,103.78,,13.87,,24.1
BDI,2017,18.9584220367267,100.5,,14.22,,24.1
BDI,2018,16.7479405418771,117.68,,14.6,,23.9
BDI,2019,15.5918628771654,128.45,,15,,23.9
BDI,2020,14.67642173268,115.62,,15.42,,24.1
BDI,2021,14.3251417564159,119.32,,15.85,,24.8
BDI,2022,12.863056718752,119.15,,16.31,,
BDI,2023,13.6549138261671,,,,,
BDI,2024,,,,,4.3,
BEN,2000,21.8673892974778,55.18,,16.71,,23.2
BEN,2001,20.3607308180196,55.69,14.3,17.59,,23
BEN,2002,23.8763238350293,65.18,12.8,18.48,,22.8
BEN,2003,24.2141983835193,62.51,11.2,19.36,,22.4
BEN,2004,24.5653739246321,66.41,10.4,20.23,,22.2
BEN,2005,29.9420417539947,66.7,9.2,21.08,,22.1
BEN,2006,30.6782819142083,59.03,8.9,21.88,,22
BEN,2007,31.1594419521255,61.04,8.5,22.63,,22.1
BEN,2008,36.1361186365244,74.43,8.2,23.32,,22.1
BEN,2009,31.0940349253234,77.51,8.7,23.95,,22.2
BEN,2010,38.6401240229343,80.51,9.1,24.5,,22.4
BEN,2011,33.920597278289,84.97,9.6,25,2,22.5
BEN,2012,37.8897950446574,91.68,9.4,25.44,,22.7
BEN,2013,40.3325617827368,99.15,9.2,25.86,,22.4
BEN,2014,45.8483706311581,103.07,9.2,26.27,,22.3
BEN,2015,40.2019861251514,94.87,9.1,26.7,,22.5
BEN,2016,50.4878399953627,102.05,9.7,27.13,,22.2
BEN,2017,52.3113311553297,104.57,10.5,27.58,,21.9
BEN,2018,46.9193864424986,109.45,11.4,28.04,,21.6
